athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date
39172,Campbell Clayton-Greene,1967-03-26,Hamilton,Waikato,NZL,New Zealand,192.0,81.0,N/A
39173,Trevor Coker,1949-10-01,Wanganui,Manawatu-Wanganui,NZL,New Zealand,192.0,87.0,1981-08-23
39177,Geoffrey Cotter,1966-10-04,Taihape,Manawatu-Wanganui,NZL,New Zealand,194.0,91.0,N/A
39182,Peter Dignan,1955-03-06,Gibraltar,Gibraltar,GIB,New Zealand,191.0,89.0,2013-06-20
39184,Alistair Dryden,1942-12-18,Auckland,Auckland,NZL,New Zealand,196.0,95.0,N/A
39185,Toni Dunlop,1969-11-03,Invercargill,Southland,NZL,New Zealand,191.0,96.0,N/A
39186,Joe Earl,1952-10-01,Christchurch,Canterbury,NZL,New Zealand,196.0,95.0,N/A
39188,John Gibbons,1943-06-19,Wellington,Wellington,NZL,New Zealand,193.0,96.0,N/A
39189,Neil Gibson,1962-03-25,Blenheim,Marlborough,NZL,New Zealand,191.0,88.0,1999-01-03
39198,John Hunter,1943-11-08,Christchurch,Canterbury,NZL,New Zealand,196.0,96.0,N/A
39203,Greg Johnston,1959-05-16,Devonport,Auckland,NZL,New Zealand,195.0,91.0,N/A
39205,Dick Joyce,1946-05-01,Wellington,Wellington,NZL,New Zealand,194.0,89.0,N/A
39208,George Keys,1959-12-12,N/A,N/A,N/A,New Zealand,193.0,95.0,N/A
39214,Tim Logan,1953-08-16,Wellington,Wellington,NZL,New Zealand,197.0,95.0,N/A
39216,Barrie Mabbott,1960-11-19,Carterton,Wellington,NZL,New Zealand,195.0,90.0,N/A
39221,Alec McLean,1950-10-18,Wellington,Wellington,NZL,New Zealand,192.0,86.0,N/A
39226,Shane O'Brien,1960-09-27,Auckland,Auckland,NZL,New Zealand,203.0,96.0,N/A
39228,Les O'Connell,1958-05-23,Timaru,Canterbury,NZL,New Zealand,193.0,89.0,N/A
39234,Tony Popplewell,1941-05-01,Rotherham,Canterbury,NZL,New Zealand,194.0,88.0,N/A
39239,Dave Rodger,1955-06-18,Hamilton,Waikato,NZL,New Zealand,192.0,92.0,N/A
39243,Dave Schaper,1973-07-24,Ashburton,Canterbury,NZL,New Zealand,194.0,96.0,N/A
39249,Andrew Stevenson,1957-12-07,Roxburgh,Otago,NZL,New Zealand,191.0,87.0,N/A
39253,Don Symon,1960-05-20,Christchurch,Canterbury,NZL,New Zealand,205.0,98.0,N/A
39262,Rob Waddell,1975-01-07,Te Kuiti,Waikato,NZL,New Zealand,200.0,103.0,N/A
39266,Roger White-Parsons,1960-11-16,Lagos,Lagos,NGR,New Zealand,196.0,90.0,N/A
39267,Lew Wilson,1948-10-15,Methven,Canterbury,NZL,New Zealand,197.0,91.0,N/A
39276,Francisco Viacava,1961-03-22,Lima,Lima,PER,Peru,191.0,72.0,N/A
39313,Piotr Basta,1970-09-16,Krosno Odrzańskie,Lubuskie,POL,Poland,205.0,105.0,N/A
39314,Władysław Beszterda,1951-09-28,Gdańsk,Pomorskie,POL,Poland,193.0,95.0,N/A
39317,Paweł Borkowski,1959-06-07,Toruń,Kujawsko-Pomorskie,POL,Poland,192.0,86.0,N/A
39326,Piotr Bujnarowski,1972-07-04,Toruń,Kujawsko-Pomorskie,POL,Poland,192.0,90.0,N/A
39330,Sławomir Cieślakowski,1961-05-02,Warszawa (Warsaw),Mazowieckie,POL,Poland,192.0,86.0,N/A
39340,Wojciech Jankowski,1963-04-01,Płock,Mazowieckie,POL,Poland,195.0,98.0,N/A
39343,Mirosław Jarzembowski,1954-02-20,Bydgoszcz,Kujawsko-Pomorskie,POL,Poland,193.0,85.0,N/A
39349,Adam Korol,1974-08-20,Gdańsk,Pomorskie,POL,Poland,193.0,92.0,N/A
39352,Mirosław Kowalewski,1952-04-12,Szczecin,Zachodniopomorskie,POL,Poland,193.0,86.0,N/A
39355,Andrzej Krzepiński,1963-07-17,Warszawa (Warsaw),Mazowieckie,POL,Poland,194.0,90.0,N/A
39360,Maciej Łasicki,1965-10-12,Gdańsk,Pomorskie,POL,Poland,192.0,96.0,N/A
39371,Andrzej Marszałek,1970-06-06,Wrocław,Dolnośląskie,POL,Poland,195.0,90.0,N/A
39375,Tomasz Mruczkowski,1966-06-03,Gdańsk,Pomorskie,POL,Poland,202.0,95.0,N/A
39385,Grzegorz Nowak,1954-11-01,Luboń,Wielkopolskie,POL,Poland,202.0,105.0,N/A
39387,Piotr Olszewski,1973-04-25,Warszawa (Warsaw),Mazowieckie,POL,Poland,200.0,100.0,N/A
39398,Zbigniew Schwarzer,1928-01-12,Poznań,Wielkopolskie,POL,Poland,192.0,85.0,2008-04-14
39399,Marian Siejkowski,1940-08-29,Poznań,Wielkopolskie,POL,Poland,196.0,96.0,1990-10-31
39401,Andrzej Skowroński,1953-11-16,Kraków (Cracow),Małopolskie,POL,Poland,192.0,82.0,2020-12-10
39402,Janusz Ślązak,1907-03-20,Warszawa (Warsaw),Mazowieckie,POL,Poland,191.0,95.0,1985-02-24
39407,Ryszard Stadniuk,1951-10-27,Szczecin,Zachodniopomorskie,POL,Poland,197.0,96.0,N/A
39408,Grzegorz Stellak,1951-03-11,Płock,Mazowieckie,POL,Poland,197.0,95.0,2023-11-17
39410,Tomasz Świątek,1964-07-26,Warszawa (Warsaw),Mazowieckie,POL,Poland,192.0,87.0,N/A
39415,Piotr Tobolski,1958-05-11,Gniezno,Wielkopolskie,POL,Poland,194.0,90.0,N/A
39416,Adam Tomasiak,1953-02-15,Biesal,Warmińsko-Mazurskie,POL,Poland,200.0,95.0,N/A
39417,Tomasz Tomiak,1967-09-17,Nowy Tomyśl,Wielkopolskie,POL,Poland,191.0,93.0,2020-08-21
39418,Henryk Trzciński,1954-04-28,Ostróda,Warmińsko-Mazurskie,POL,Poland,192.0,90.0,N/A
39419,Mariusz Trzciński,1954-04-28,Ostróda,Warmińsko-Mazurskie,POL,Poland,192.0,90.0,N/A
39420,Jerzy Ulczyński,1951-07-27,Opole,Opolskie,POL,Poland,191.0,88.0,N/A
39469,Ri Jong-Hui,1953-01-28,N/A,N/A,N/A,Democratic People's Republic of Korea,195.0,73.0,N/A
39470,Juan Félix,1959-02-09,N/A,N/A,N/A,Puerto Rico,193.0,91.0,N/A
